PersonUrn,Label,Description,Status,Redirect
urn:cite:hmt:pers.pers1,Achilles,"hero of the Iliad, greatest warrior of the Greeks at Troy",proposed,
urn:cite:hmt:pers.pers2,Lycomedes,"king of Scyros, father-in-law to Achilles",proposed,
urn:cite:hmt:pers.pers3,Glaucon,"of Tarsus, writer on Homer",proposed,
urn:cite:hmt:pers.pers4,Hesiod,"early Greek poet, author of the Theogony and the Works and Days",proposed,
urn:cite:hmt:pers.pers5,Pindar,one of the nine lyric poets,proposed,
urn:cite:hmt:pers.pers6,Muse,goddesses of knowledge and inspiration,proposed,
urn:cite:hmt:pers.pers7,Antimachus,poet and grammarian 400BC,proposed,
urn:cite:hmt:pers.pers8,Zeus,king of the gods,proposed,
urn:cite:hmt:pers.pers9,Xuthus,"son of Hellen and Orseis, ancestor of Achaeans and Ionians",proposed,
urn:cite:hmt:pers.pers10,Creusa,Xuthus' wife,proposed,
urn:cite:hmt:pers.pers11,Erechtheus,archaic king of Athens,proposed,
urn:cite:hmt:pers.pers12,Ion,son of Xuthus,proposed,
urn:cite:hmt:pers.pers13,Achaeus,son of Xuthus,proposed,
urn:cite:hmt:pers.pers14,Hellen,son of Deucalion,proposed,
urn:cite:hmt:pers.pers15,Zenodotus,"Hellenistic Homeric scholar, first librarian of the Library of Alexandria",proposed,
urn:cite:hmt:pers.pers16,Aristarchus,"of Samothrace, Hellenistic Homeric scholar",proposed,
urn:cite:hmt:pers.pers17,Homer,"early Greek poet, authorship of the Iliad and Odyssey to him",proposed,
urn:cite:hmt:pers.pers18,Momus,"God of satire, mockery, poets etc.",proposed,
urn:cite:hmt:pers.pers19,Thetis,sea goddess and mother of Achilles,proposed,
urn:cite:hmt:pers.pers20,Stasinus,author of Cypria,proposed,
urn:cite:hmt:pers.pers21,Aristophanes,"of Byzantium, Homeric scholar",proposed,
urn:cite:hmt:pers.pers22,Agamemnon,leader of the Greek forces at Troy,proposed,
urn:cite:hmt:pers.pers23,Atreus,father of Agamemnon and Menelaus,proposed,
urn:cite:hmt:pers.pers24,Pelops,father of Atreus,proposed,
urn:cite:hmt:pers.pers25,Aerope,wife of Atreus,proposed,
